Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
12PPDt	S-Propane-1,2-diol facilitated transport	12ppd-S[e]  <=> 12ppd-S[c] 		1	-1000.00	1000.00	  0.00
2DGLCNRx	 2-dehydro-D-gluconate reductase (NADH)	2dhglcn[c] + h[c] + nadh[c]  -> glcn[c] + nad[c] 	(b3553)	0	  0.00	1000.00	  0.00
2DGLCNRy	 2-dehydro-D-gluconate reductase (NADPH)	2dhglcn[c] + h[c] + nadph[c]  -> glcn[c] + nadp[c] 	(b3553)	0	  0.00	1000.00	  0.00
2DGULRx	 2-dehydro-L-gulonate reductase (NADH)	2dhguln[c] + h[c] + nadh[c]  -> idon-L[c] + nad[c] 	(b3553)	0	  0.00	1000.00	  0.00
2DGULRy	 2-dehydro-L-gulonate reductase (NADPH)	2dhguln[c] + h[c] + nadph[c]  -> idon-L[c] + nadp[c] 	(b3553)	0	  0.00	1000.00	  0.00
3HCINNMH	 3-hydroxycinnamate hydroxylase	3hcinnm[c] + h[c] + nadh[c] + o2[c]  -> dhcinnm[c] + h2o[c] + nad[c] 	(b0347)	0	  0.00	1000.00	  0.00
3HPPPNH	 3-(3-hydroxy-phenyl)propionate hydroxylase	3hpppn[c] + h[c] + nadh[c] + o2[c]  -> dhpppn[c] + h2o[c] + nad[c] 	(b0347)	0	  0.00	1000.00	  0.00
4HTHRS	 4-Hydroxy-L-threonine synthase	h2o[c] + phthr[c]  -> 4hthr[c] + pi[c] 	(b0004)	0	  0.00	1000.00	  0.00
5DGLCNR	 5-dehydro-D-gluconate reductase	5dglcn[c] + h[c] + nadph[c]  <=> glcn[c] + nadp[c] 	(b4266)	1	-1000.00	1000.00	  0.00
A5PISO	arabinose-5-phosphate isomerase	ru5p-D[c]  <=> ara5p[c] 		1	-1000.00	1000.00	  0.00
