Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
HMR_3905		m2411 + m3355  => m1551 + m2714 + m3361 	(ENSG00000147576) or (ENSG00000180011) or (ENSG00000196616) or (ENSG00000198099)	0	 -0.00	1000.00	  0.00
HMR_3907		m2411 + m3365  => m1551 + m2714 + m3371 	(ENSG00000117448)	0	 -0.00	1000.00	  0.00
HMR_4097		m1555 + m1720 + m2098  => m1575 + m1672 + m3643 	(ENSG00000131069)	0	 -0.00	1000.00	  0.00
HMR_4099		m1557 + m1722 + m2101  => m1577 + m1675 + m3644 	(ENSG00000111058) or (ENSG00000154930)	0	 -0.00	1000.00	  0.00
HMR_4108		m1571 + m2098  => m1575 + m1672 	(ENSG00000131069)	0	 -0.00	1000.00	  0.00
HMR_4133		m1555 + m1720  => m1571 + m3643 	(ENSG00000131069)	0	 -0.00	1000.00	  0.00
HMR_4137		m2101 + m3356 + m3708  => m1577 + m2094 + m2717 + m3362 	(ENSG00000091140) or (ENSG00000110435) or (ENSG00000150768) or (ENSG00000168291)	0	 -0.00	1000.00	  0.00
HMR_4281		m2719 + m3363 + m3709  <=> m3190 + m3358 	(ENSG00000111716) or (ENSG00000151116) or (ENSG00000166800) or (ENSG00000171989)	1	-1000.00	1000.00	  0.00
HMR_4388		m2714 + m3361 + m3707  <=> m3188 + m3355 	(ENSG00000111716) or (ENSG00000151116) or (ENSG00000166800) or (ENSG00000171989)	1	-1000.00	1000.00	  0.00
HMR_4283		m1551 + m2722 + m3365  => m1555 + m2714 + m3371 	(ENSG00000006534) or (ENSG00000184254)	0	 -0.00	1000.00	  0.00
HMR_8357		m1552 + m2725 + m3356  => m1557 + m2717 + m3362 	(ENSG00000072210) or (ENSG00000137124) or (ENSG00000143149) or (ENSG00000164904)	0	 -0.00	1000.00	  0.00
HMR_4379		m1720 + m2473  => m1606 + m2471 	(ENSG00000067057) or (ENSG00000141959) or (ENSG00000152556) or (ENSG00000160226)	0	 -0.00	1000.00	  0.00
HMR_4301		m2473 + m4149  => m2471 + m4097 	(ENSG00000067057) or (ENSG00000141959) or (ENSG00000152556) or (ENSG00000160226)	0	 -0.00	1000.00	  0.00
HMR_4355		m2238 + m2382  => m3774 	(ENSG00000136872) or (ENSG00000149925)	0	 -0.00	1000.00	  0.00
HMR_4358		m1606 + m3581  => m1720 + m3707 	(ENSG00000121900) or (ENSG00000143630)	0	 -0.00	1000.00	  0.00
HMR_4360		m2722 + m3287 + m3365  => m2714 + m3371 + m3707 	(ENSG00000180011)	0	 -0.00	1000.00	  0.00
HMR_4363		m892  <=> m2722 + m3581 	(ENSG00000074800) or (ENSG00000108515)	1	-1000.00	1000.00	  0.00
HMR_4365		m892  <=> m1192 	(ENSG00000164708) or (ENSG00000171314) or (ENSG00000226784)	1	-1000.00	1000.00	  0.00
HMR_4368		m406 + m1606  <=> m1192 + m1720 	(ENSG00000096006) or (ENSG00000102144)	1	-1000.00	1000.00	  0.00
HMR_4370		m406 + m2722  => m1192 + m3631 	(ENSG00000119640) or (ENSG00000170634)	0	 -0.00	1000.00	  0.00
HMR_4371		m406  => m758 	(ENSG00000164708) or (ENSG00000171314) or (ENSG00000226784)	0	 -0.00	1000.00	  0.00
HMR_4373		m406 + m2714 + m3361  <=> m2545 + m3355 + m3631 	(ENSG00000111640)	1	-1000.00	1000.00	  0.00
HMR_4375		m2238 + m2545  <=> m2471 	(ENSG00000136872) or (ENSG00000149925)	1	-1000.00	1000.00	  0.00
HMR_4377		m2471 + m2722  => m2473 + m3631 	(ENSG00000130957) or (ENSG00000165140)	0	 -0.00	1000.00	  0.00
HMR_4381		m2473  <=> m2588 	(ENSG00000105220)	1	-1000.00	1000.00	  0.00
HMR_4391		m2238  <=> m2545 	(ENSG00000111669)	1	-1000.00	1000.00	  0.00
HMR_4394		m1720 + m2581  => m1606 + m2588 	(ENSG00000106633) or (ENSG00000156510) or (ENSG00000156515) or (ENSG00000159322) or (ENSG00000159399)	0	 -0.00	1000.00	  0.00
HMR_4396		m2587  <=> m2588 	(ENSG00000079739) or (ENSG00000154330) or (ENSG00000169299)	1	-1000.00	1000.00	  0.00
HMR_4521		m2589 + m2728  => m2584 + m3637 	(ENSG00000131482) or (ENSG00000141349)	0	 -0.00	1000.00	  0.00
HMR_6410		m3178 + m3708  => m2094 + m3753 	(ENSG00000168291)	0	 -0.00	1000.00	  0.00
HMR_6412		m2101 + m3753  => m1577 + m2258 	(ENSG00000150768)	0	 -0.00	1000.00	  0.00
HMR_7745		m1741  <=> m2581 	(ENSG00000143891)	1	-1000.00	1000.00	  0.00
HMR_7746		m1720 + m1741  => m1606 + m1742 	(ENSG00000106633) or (ENSG00000156510) or (ENSG00000156515) or (ENSG00000159399)	0	 -0.00	1000.00	  0.00
HMR_7747		m1606 + m1741  => m1672 + m1742 	(ENSG00000159322)	0	 -0.00	1000.00	  0.00
HMR_7748		m1742  <=> m2588 	(ENSG00000105220)	1	-1000.00	1000.00	  0.00
HMR_7749		m1742  <=> m2473 	(ENSG00000105220)	1	-1000.00	1000.00	  0.00
HMR_3989		m2729 + m3249  => 2 m2585 	(ENSG00000092529) or (ENSG00000214013)	0	 -0.00	1000.00	  0.00
HMR_4122		m2722 + 2 m3355 + m4107  => 2 m2714 + 2 m3361 + m4109 	(ENSG00000109814)	0	 -0.00	1000.00	  0.00
HMR_4837		m2729 + m4024  => 2 m2585 	(ENSG00000142102)	0	 -0.00	1000.00	  0.00
HMR_5395		m2636 + 8 m4107  => m2635 + 8 m4097 	(ENSG00000056998) or (ENSG00000163754)	0	 -0.00	1000.00	  0.00
HMR_5396		m2635 + 3 m4107  => m2630 + 3 m4097 	(ENSG00000056998) or (ENSG00000104812) or (ENSG00000111713) or (ENSG00000163754)	0	 -0.00	1000.00	  0.00
HMR_9727		m4107  => m4097 + m4187 	(ENSG00000104812) or (ENSG00000111713) or (ENSG00000119938) or (ENSG00000173281)	0	 -0.00	1000.00	  0.00
HMR_5397		m2630  => m2632 	(ENSG00000114480)	0	 -0.00	1000.00	  0.00
HMR_5398		m2632 + 3 m3631  => 3 m2587 + m2631 	(ENSG00000068976) or (ENSG00000100994)	0	 -0.00	1000.00	  0.00
HMR_5399		m2631  => m2634 	(ENSG00000162688)	0	 -0.00	1000.00	  0.00
HMR_5400		m2634 + m2722  => m2581 + m2633 	(ENSG00000162688)	0	 -0.00	1000.00	  0.00
HMR_5401		m2633 + 7 m3631  => 7 m2587 + m2636 	(ENSG00000068976) or (ENSG00000100994)	0	 -0.00	1000.00	  0.00
HMR_8568		m2722 + m3238  => m2469 + m3244 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8569		m2729 + m3239  => m2585 + m3245 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8570		2 m2722 + m3244  => 2 m2469 + m3240 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8571		2 m2729 + m3245  => 2 m2585 + m3241 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8572		m2722 + m3240  => m2469 + m3242 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8573		m2729 + m3241  => m2585 + m3243 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8574		m2722 + m3242  => m2469 + m3246 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8575		m2729 + m3243  => m2585 + m3247 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8576		m2722 + m3246  => m2469 + m3250 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8577		m2729 + m3247  => m2585 + m3251 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8578		m2722 + m3250  => m2469 + m3252 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8579		m2729 + m3251  => m2585 + m3253 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8581		m2729 + m3253  => m2585 + m3249 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8591		m2722 + m3252  => m2581 + m3248 	(ENSG00000214013)	0	 -0.00	1000.00	  0.00
HMR_8580		m2722 + m3252  => m2469 + m3248 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8582		m2722 + m3248  => 2 m2469 	(ENSG00000120563)	0	 -0.00	1000.00	  0.00
HMR_8587		m2722 + m3248  => 2 m2581 	(ENSG00000214013)	0	 -0.00	1000.00	  0.00
HMR_8585		m406 + m2587  => m1192 + m2586 	(ENSG00000165434)	0	 -0.00	1000.00	  0.00
HMR_3944		m2587 + m4149  => m3643 + m4107 	(ENSG00000169764)	0	 -0.00	1000.00	  0.00
HMR_4128		m4104  <=> m4107 	(ENSG00000117308)	1	-1000.00	1000.00	  0.00
HMR_4130		m1720 + m2515  => m1606 + m1661 	(ENSG00000108479) or (ENSG00000156958)	0	 -0.00	1000.00	  0.00
HMR_4131		m2587 + m4104  <=> m1661 + m4107 	(ENSG00000213930)	1	-1000.00	1000.00	  0.00
HMR_4132		m2518 + m4107  => m2587 + m4104 	(ENSG00000213930)	0	 -0.00	1000.00	  0.00
HMR_4303		m2729 + m3869  => m2470 + m2585 	(ENSG00000214013)	0	 -0.00	1000.00	  0.00
HMR_4414		m1720 + m2515  => m1606 + m2518 	(ENSG00000108479) or (ENSG00000156958) or (ENSG00000166262)	0	 -0.00	1000.00	  0.00
HMR_4415		m2729 + m3087  => m2517 + m2585 	(ENSG00000115850) or (ENSG00000163521) or (ENSG00000170266)	0	 -0.00	1000.00	  0.00
HMR_4416		m2521 + m2729  => m2517 + m2619 	(ENSG00000170266) or (ENSG00000241343)	0	 -0.00	1000.00	  0.00
HMR_4774		m1789 + m3887  <=> m2130 + m2319 	(ENSG00000067057) or (ENSG00000141959) or (ENSG00000152556)	1	-1000.00	1000.00	  0.00
HMR_4775		m2319 + m2939  <=> m2904 + m3887 	(ENSG00000067057) or (ENSG00000141959) or (ENSG00000152556)	1	-1000.00	1000.00	  0.00
HMR_7674		m2582 + m4105  => m3085 + m4098 	(ENSG00000117411)	0	 -0.00	1000.00	  0.00
HMR_8761		m1720 + m2317  => m1606 + m2319 	(ENSG00000138030)	0	 -0.00	1000.00	  0.00
HMR_8762		m2319  <=> m2238 + m2613 	(ENSG00000136872) or (ENSG00000149925)	1	-1000.00	1000.00	  0.00
HMR_8764		m2724 + m3086  => m2516 + m2583 	(ENSG00000115850)	0	 -0.00	1000.00	  0.00
HMR_8767		m1661 + m4149  => m3643 + m4104 	(ENSG00000213930)	0	 -0.00	1000.00	  0.00
HMR_4297		m1720 + m2473  => m1606 + m2472 	(ENSG00000114268) or (ENSG00000123836)	0	 -0.00	1000.00	  0.00
HMR_4316		m2225 + m3365  <=> m2581 + m2714 + m3371 	(ENSG00000085662)	1	-1000.00	1000.00	  0.00
HMR_4319		m1720 + m2469  => m1606 + m2473 	(ENSG00000156510) or (ENSG00000156515) or (ENSG00000159399)	0	 -0.00	1000.00	  0.00
HMR_4383		m2473  <=> m3260 	(ENSG00000178802)	1	-1000.00	1000.00	  0.00
HMR_4385		m3260  => m3259 	(ENSG00000100413) or (ENSG00000100417) or (ENSG00000140650)	0	 -0.00	1000.00	  0.00
HMR_4386		m2558 + m3259  => m2566 + m3631 	(ENSG00000144591) or (ENSG00000164068) or (ENSG00000173540) or (ENSG00000176020)	0	 -0.00	1000.00	  0.00
HMR_4387		m2702 + m3259  => m2566 + m3643 	(ENSG00000144591) or (ENSG00000173540)	0	 -0.00	1000.00	  0.00
HMR_4399		m2566  => m2563 + m2722 	(ENSG00000112699)	0	 -0.00	1000.00	  0.00
HMR_4400		m2563 + m2714 + m3361  => m2564 + m3355 	(ENSG00000104522)	0	 -0.00	1000.00	  0.00
HMR_4401		m2564 + m3643  <=> m2702 + m3146 	(ENSG00000254685)	1	-1000.00	1000.00	  0.00
HMR_4402		m1455 + m1720  <=> m1606 + m3146 	(ENSG00000157353)	1	-1000.00	1000.00	  0.00
HMR_4490		m1720 + m3254  => m1606 + m3260 	(ENSG00000156510) or (ENSG00000156515) or (ENSG00000159399)	0	 -0.00	1000.00	  0.00
HMR_4706		m2472 + m2722  => m2473 + m3631 	(ENSG00000078237) or (ENSG00000114268) or (ENSG00000123836)	0	 -0.00	1000.00	  0.00
HMR_8768		m2563 + m2714 + m3371  => m2564 + m3365 	(ENSG00000104522)	0	 -0.00	1000.00	  0.00
HMR_4590		m2714 + m3216 + m3371  => m3365 + m4181 	(ENSG00000169738)	0	 -0.00	1000.00	  0.00
HMR_4591		m3355 + m4181  => m2714 + m3216 + m3361 	(ENSG00000115425) or (ENSG00000116353)	0	 -0.00	1000.00	  0.00
HMR_4592		m2337 + m2714 + m3371  <=> m3365 + m4181 	(ENSG00000085662)	1	-1000.00	1000.00	  0.00
HMR_4593		m3355 + m4181  => m2338 + m2714 + m3361 		0	 -0.00	1000.00	  0.00
HMR_8341		m2714 + m3090 + m3371  => m3092 + m3365 	(ENSG00000053371) or (ENSG00000085662) or (ENSG00000117448)	0	 -0.00	1000.00	  0.00
HMR_8342		m2714 + m3216 + m3361  <=> m3092 + m3355 		1	-1000.00	1000.00	  0.00
HMR_8727		m2722 + m4109  => m2227 + m4121 	(ENSG00000120697)	0	 -0.00	1000.00	  0.00
HMR_8729		m2722 + m4109  => m2598 + m4097 	(ENSG00000115652)	0	 -0.00	1000.00	  0.00
